name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_value
Nitric Oxide (NO),Mean,UHF34,402,West Queens,Annual Average 2016,17.22
Nitric Oxide (NO),Mean,UHF34,403,Flushing - Clearview,Annual Average 2016,15.06
Nitric Oxide (NO),Mean,UHF34,405,Ridgewood - Forest Hills,Annual Average 2016,17.4
Nitric Oxide (NO),Mean,UHF34,407,Southwest Queens,Annual Average 2016,16.48
Nitric Oxide (NO),Mean,UHF34,408,Jamaica,Annual Average 2016,15.76
Nitric Oxide (NO),Mean,UHF34,409,Southeast Queens,Annual Average 2016,14.38
Nitric Oxide (NO),Mean,UHF34,410,Rockaways,Annual Average 2016,13.62
Nitric Oxide (NO),Mean,UHF34,305307,Upper East Side-Gramercy,Annual Average 2016,27.93
Nitric Oxide (NO),Mean,UHF34,306308,Chelsea-Village  ,Annual Average 2016,29.91
Nitric Oxide (NO),Mean,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2016,25.96
Nitric Oxide (NO),Mean,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,15.56
Nitric Oxide (NO),Mean,UHF34,501502,Northern SI,Annual Average 2016,12.22
Nitric Oxide (NO),Mean,UHF34,503504,Southern SI,Annual Average 2016,9.73
Nitric Oxide (NO),Mean,UHF34,105106107,South Bronx,Annual Average 2016,16.2
Fine Particulate Matter (PM2.5),Mean,UHF34,101,Kingsbridge - Riverdale,Annual Average 2016,7.5
Fine Particulate Matter (PM2.5),Mean,UHF34,102,Northeast Bronx,Annual Average 2016,7.55
Fine Particulate Matter (PM2.5),Mean,UHF34,103,Fordham - Bronx Pk,Annual Average 2016,7.57
Fine Particulate Matter (PM2.5),Mean,UHF34,104,Pelham - Throgs Neck,Annual Average 2016,7.5
Fine Particulate Matter (PM2.5),Mean,UHF34,201,Greenpoint,Annual Average 2016,9.46
Fine Particulate Matter (PM2.5),Mean,UHF34,202,Downtown - Heights - Slope,Annual Average 2016,8.86
