
"Cigarette Smoking among Adults", ,
High Bridge - Morrisania,57.7,60.9,61.5,67.2,69.9,76.1,72.8,72.8,72.1,55.7,,
Hunts Point - Mott Haven,57.7,60.9,61.5,67.2,69.9,76.1,72.8,72.8,70.8,63,,
Greenpoint,61.9,68.4,70.8,69.1,67.8,76.5,70.4,80.7,80.4,67.4,,
Downtown - Heights - Slope,75.8,78.4,74.9,79.8,71.9,85.9,85.6,86.6,81.1,85,,
Bedford Stuyvesant - Crown Heights,58.5,74.2,63.8,76.4,70.8,80.5,79.8,75.5,73,73.4,,
East New York,56.1,65.4,60.3,66.4,71.9,80.9,74.4,75.1,72.8,66.7,,
Sunset Park,49.8,65.1,72.2,65.1,71.1,70.5,71.8,68.4,66.7,62,,
Borough Park,57.3,71.5,57.8,66.9,68.5,75.6,81.7,70.3,70.3,66.6,,
East Flatbush - Flatbush,59.1,71.2,67.4,71.6,71.9,85.5,75.6,81.5,72.7,73.7,,
Canarsie - Flatlands,66.4,75.5,72.6,74.2,78.6,83.9,79.2,70.2,76,80,,
Bensonhurst - Bay Ridge,63.5,77.3,74.9,67.9,70.8,77.5,67.6,72.2,72.4,65,,
Coney Island - Sheepshead Bay,61.8,71.2,65.2,66.6,71.3,76.3,69.8,60.2,66.9,67.6,,
Williamsburg - Bushwick,55,62.3,61.7,65.4,64.2,72.4,74.5,77.9,70.8,72.5,,
Washington Heights,60.8,69,59.8,70.8,71.7,85.4,79.1,78,76.7,77,,
Central Harlem - Morningside Heights,66.2,74.4,70.7,76.9,66.8,82.2,78.1,84.8,73.8,67.9,,
East Harlem,58.7,76.4,67.9,70.7,58.4,71.4,78.1,73,65.3,69.3,,
Upper West Side,80.4,82.4,86.9,83.6,80.5,86.1,86.8,87.7,91.4,78.6,,
Upper East Side,86.2,88.9,92.7,89.6,86.7,89.9,86.3,88.7,89.5,85.8,,
Chelsea - Clinton,79.1,82.7,83.9,86.9,83.3,88.4,85.8,83.6,83.1,82.2,,
Gramercy Park - Murray Hill,86.2,88.9,92.7,89.6,86.7,89.9,86.3,88.7,82.1,90.9,,
Greenwich Village - SoHo,79.1,82.7,83.9,86.9,83.3,88.4,85.8,83.6,89.5,88.9,,
Union Square - Lower East Side,68.6,80.8,81.5,74.2,82.8,90.8,84.8,77.6,79,76.5,,
Lower Manhattan,68.6,80.8,81.5,74.2,82.8,90.8,84.8,77.6,84.8,96.6,,
Long Island City - Astoria,63.2,74.5,71.2,72.9,72,78.8,82.3,81.4,80.9,78.7,,
West Queens,55.1,63.2,62.8,73.9,66.8,72.7,75.4,75.8,73.4,63.5,,
Flushing - Clearview,61.4,72.1,72.4,71,70.9,86.6,70.2,61,68.1,69.7,,
Bayside - Little Neck,67.4,65.7,66.7,78,76.5,73.2,78.2,66.6,79.6,76,,
Ridgewood - Forest Hills,68.2,70.4,73,64.8,68.8,76.2,72.7,71.8,69.8,72.8,,
Fresh Meadows,67.4,65.7,66.7,78,76.5,73.2,78.2,66.6,70.4,65.8,,
Southwest Queens,61,68.3,69.1,64.7,72.6,73.3,78.1,74.4,66.9,69.5,,
Jamaica,62.8,72.8,73.7,77.9,77.9,78.2,79.3,77.9,67.4,71.3,,
Southeast Queens,70.6,83.7,71.7,69.9,68.5,78.1,78.2,79,73.5,57.8,,
Rockaways,66.2,75,72.5,66.1,75.2,78.4,78.9,74.4,70.5,73,,
Port Richmond,65.2,66.8,75.5,69,76.9,76.3,83.2,75.3,71.4,63.2,,
Stapleton - St. George,65.2,66.8,75.5,69,76.9,76.3,83.2,75.3,83,65.3,,
Willowbrook,64.9,79.7,76.7,72.2,74.5,76.4,77.2,77.8,75.8,84,,
South Beach - Tottenville,64.9,79.7,76.7,72.2,74.5,76.4,77.2,77.8,80.1,72.4,,

"Adults with Health Insurance ", ,
 ,Percent,,,,,
Row Labels,2012,2013,2014,2015,,
UHF42,
Kingsbridge - Riverdale,84.4,82,91.6,97.4,,
Northeast Bronx,78.4,80.3,92.7,90.8,,
Fordham - Bronx Pk,71.6,76.4,82.2,80.5,,
Pelham - Throgs Neck,82.5,78.1,83.9,88.8,,
Crotona -Tremont,76.5,75.5,82.7,89.2,,
High Bridge - Morrisania,76.5,75.5,82.7,86.7,,
Hunts Point - Mott Haven,76.5,75.5,82.7,86.3,,
Greenpoint,82.9,83.4,89.4,91.5,,
Downtown - Heights - Slope,80.7,84,90.1,89.2,,
Bedford Stuyvesant - Crown Heights,78.9,78.9,86.8,88,,
East New York,82.1,66.3,84.9,96.3,,
Sunset Park,78.1,64.4,78.3,69.3,,
Borough Park,86.1,70.8,84.7,83.9,,
East Flatbush - Flatbush,75,77,87.7,85.7,,
Canarsie - Flatlands,81.2,81.6,93.1,91.8,,
Bensonhurst - Bay Ridge,85.1,80,79.3,87.1,,
Coney Island - Sheepshead Bay,80.8,81,87.3,90.6,,
Williamsburg - Bushwick,77.5,76.7,74.7,89.4,,
Washington Heights,78.8,75,85.5,80.7,,
Central Harlem - Morningside Heights,86.3,82,87.9,93.8,,
East Harlem,75.2,69.8,81.5,86.1,,
Upper West Side,91.8,89.1,90.8,92.9,,
Upper East Side,91.4,90.9,95.4,94.4,,
Chelsea - Clinton,86.6,88.9,91.5,92.5,,
Gramercy Park - Murray Hill,91.4,90.9,95.4,83.2,,
Greenwich Village - SoHo,86.6,88.9,91.5,91.2,,
Union Square - Lower East Side,81.9,82.4,93.1,93.1,,
Lower Manhattan,81.9,82.4,93.1,99.6,,
Long Island City - Astoria,78.6,84,86.4,90.3,,
West Queens,61.7,62.9,70.8,68.7,,
Flushing - Clearview,76.6,78,83.9,87.7,,
Bayside - Little Neck,87.7,88.8,91.5,95.7,,
Ridgewood - Forest Hills,88.4,83.3,90.2,89.7,,
Fresh Meadows,87.7,88.8,91.5,83.2,,
Southwest Queens,80.6,77.7,87.4,90.5,,
Jamaica,72.3,75.8,82,80.5,,
Southeast Queens,84.5,83.7,92.3,91,,
Rockaways,82.4,87.3,89,91.6,,
Port Richmond,81.6,86.9,90.4,86.6,,
Stapleton - St. George,81.6,86.9,90.4,92.1,,
Willowbrook,91.6,92.7,89.4,94.9,,
South Beach - Tottenville,91.6,92.7,89.4,96.6,,
